number	path	doc_id	page	eo_id	sec
240	../data/ddrs/316947/18.txt	316947	18	13292	3.4, 
241	../data/ddrs/316947/19.txt	316947	19	13292	3.4 
242	../data/ddrs/316947/22.txt	316947	22	13292	3.4 
243	../data/ddrs/316947/23.txt	316947	23	13292	3.4 
244	../data/ddrs/316947/24.txt	316947	24	13292	34 
245	../data/ddrs/316947/28.txt	316947	28	13292	3.4 
246	../data/ddrs/316947/30.txt	316947	30	13292	3.4 
247	../data/ddrs/316947/31.txt	316947	31	13292	3.4 
248	../data/ddrs/316947/32.txt	316947	32	09	
249	../data/ddrs/316947/33.txt	316947	33	13292	3.4, 
250	../data/ddrs/316947/34.txt	316947	34	13292	3A 
251	../data/ddrs/316947/36.txt	316947	36	13292	3.4 
252	../data/ddrs/316947/4.txt	316947	4	13292	3.4 
253	../data/ddrs/316947/40.txt	316947	40	13292	34 , 
254	../data/ddrs/316947/41.txt	316947	41	13292	3.4 
255	../data/ddrs/316947/42.txt	316947	42	13292	3.4 
256	../data/ddrs/316947/43.txt	316947	43	13292	3.4 
257	../data/ddrs/316947/44.txt	316947	44	13292	3.4 
258	../data/ddrs/316947/50.txt	316947	50	13292	3.4 
259	../data/ddrs/316947/52.txt	316947	52	13292	3.4 
260	../data/ddrs/316947/54.txt	316947	54	13292	34 
261	../data/ddrs/316947/56.txt	316947	56	13292	3.4 
262	../data/ddrs/316947/57.txt	316947	57	13292	3.4 
263	../data/ddrs/316947/65.txt	316947	65	13292	3.4 
264	../data/ddrs/316947/66.txt	316947	66	13292	3.4 
265	../data/ddrs/316947/67.txt	316947	67	13292	3.4 
266	../data/ddrs/316947/68.txt	316947	68	13292	3.4 
267	../data/ddrs/316947/69.txt	316947	69	13292	3.4 
268	../data/ddrs/316947/71.txt	316947	71	13292	3,4 
269	../data/ddrs/316947/74.txt	316947	74	13292	3.4 
270	../data/ddrs/316947/77.txt	316947	77	13292	3.4 
271	../data/ddrs/316947/79.txt	316947	79	13292	3.4 
272	../data/ddrs/316947/81.txt	316947	81	13292	3.4, 
273	../data/ddrs/316947/83.txt	316947	83	13292	3.4 
274	../data/ddrs/316947/84.txt	316947	84	13292	3. 
275	../data/ddrs/316947/85.txt	316947	85	13292	3.4 
276	../data/ddrs/316947/86.txt	316947	86	13292	3.4 
277	../data/ddrs/316947/87.txt	316947	87	13292	3.4 
278	../data/ddrs/316947/88.txt	316947	88	13292	34 
279	../data/ddrs/316947/9.txt	316947	9	13292	3.4. 
280	../data/ddrs/316948/65.txt	316948	65	13292	3.4 
281	../data/ddrs/316948/66.txt	316948	66	13292	3. 
282	../data/ddrs/316948/73.txt	316948	73	13292	3.4 
283	../data/ddrs/316948/74.txt	316948	74	13292	3.- 
284	../data/ddrs/316948/8.txt	316948	8	13292	3.4 
285	../data/ddrs/316948/80.txt	316948	80	13292	3.4 
286	../data/ddrs/316948/81.txt	316948	81	13292	3.4 
287	../data/ddrs/316948/85.txt	316948	85	13292	3.4 
288	../data/ddrs/316948/86.txt	316948	86	13292	3.4 
289	../data/ddrs/316948/87.txt	316948	87	13292	3.4 
290	../data/ddrs/316948/9.txt	316948	9	13292	3.4 
291	../data/ddrs/316948/90.txt	316948	90	13292	3J_ 
292	../data/ddrs/316948/91.txt	316948	91	13292	3.4 
293	../data/ddrs/316948/94.txt	316948	94	13292	3.4 
294	../data/ddrs/316948/99.txt	316948	99	13292	3.4 
295	../data/ddrs/316948/10.txt	316948	10	13292	
296	../data/ddrs/316948/100.txt	316948	100	13292	3.4 
297	../data/ddrs/316948/102.txt	316948	102	13292	3.4 
298	../data/ddrs/316948/108.txt	316948	108	13292	3.4 
299	../data/ddrs/316948/11.txt	316948	11	13292	3.4 
300	../data/ddrs/316948/111.txt	316948	111	13292	3.4 
301	../data/ddrs/316948/113.txt	316948	113	13292	3.4 
302	../data/ddrs/316948/116.txt	316948	116	13292	3.4 
303	../data/ddrs/316948/117.txt	316948	117	13292	3.4 
304	../data/ddrs/316948/12.txt	316948	12	13292	3.4 
305	../data/ddrs/316948/120.txt	316948	120	13292	3.4 
306	../data/ddrs/316948/122.txt	316948	122	13292	3.4 
307	../data/ddrs/316948/124.txt	316948	124	13292	3.4 
308	../data/ddrs/316948/125.txt	316948	125	13292	3.4 
309	../data/ddrs/316948/126.txt	316948	126	13292	3.4 
310	../data/ddrs/316948/127.txt	316948	127	13292	3.4 
311	../data/ddrs/316948/128.txt	316948	128	13292	3.4 
312	../data/ddrs/316948/130.txt	316948	130	13292	3.4 
313	../data/ddrs/316948/132.txt	316948	132	13292	3.4 
314	../data/ddrs/316948/133.txt	316948	133	13292	3.4 
315	../data/ddrs/316948/135.txt	316948	135	13292	3.4 
316	../data/ddrs/316948/136.txt	316948	136	13292	3.4 
317	../data/ddrs/316948/143.txt	316948	143	13292	3.4 
318	../data/ddrs/316948/15.txt	316948	15	13292	3.4 
319	../data/ddrs/316948/152.txt	316948	152	13292	34 
320	../data/ddrs/316948/154.txt	316948	154	13292	3.4 
321	../data/ddrs/316948/155.txt	316948	155	13292	3.4 
322	../data/ddrs/316948/17.txt	316948	17	13292	3.4 
323	../data/ddrs/316948/18.txt	316948	18	13292	3.4 
324	../data/ddrs/316948/2.txt	316948	2	13292	3.4 
325	../data/ddrs/316948/20.txt	316948	20	13292	3.4 
326	../data/ddrs/316948/22.txt	316948	22	13292	3.4 
327	../data/ddrs/316948/23.txt	316948	23	13292	3.4 
328	../data/ddrs/316948/24.txt	316948	24	13292	3.4 
329	../data/ddrs/316948/28.txt	316948	28	13292	3.4 
330	../data/ddrs/316948/34.txt	316948	34	13292	3.4 
331	../data/ddrs/316948/37.txt	316948	37	13292	3.4 
332	../data/ddrs/316948/38.txt	316948	38	13292	3.4 
333	../data/ddrs/316948/4.txt	316948	4	13292	3.4, 
334	../data/ddrs/316948/41.txt	316948	41	13292	3.4 
335	../data/ddrs/316948/46.txt	316948	46	13292	3. 
336	../data/ddrs/316948/47.txt	316948	47	13292	3.4 
337	../data/ddrs/316948/48.txt	316948	48	13292	3.4 
338	../data/ddrs/316948/5.txt	316948	5	13292	3.4 
339	../data/ddrs/316948/51.txt	316948	51	13292	3.4 
340	../data/ddrs/316948/52.txt	316948	52	13292	3.4 
341	../data/ddrs/316948/56.txt	316948	56	13292	3.4 
342	../data/ddrs/316948/57.txt	316948	57	13292	34 
343	../data/ddrs/316948/59.txt	316948	59	13292	3.4 
344	../data/ddrs/316948/62.txt	316948	62	13292	3.4 
345	../data/ddrs/316948/64.txt	316948	64	13292	3.4, 
346	../data/ddrs/316949/79.txt	316949	79	13292	
347	../data/ddrs/316949/8.txt	316949	8	13292	3.4 
348	../data/ddrs/316949/80.txt	316949	80	13292	3.4 
349	../data/ddrs/316949/81.txt	316949	81	13292	3. 
350	../data/ddrs/316949/84.txt	316949	84	13292	3.4 
351	../data/ddrs/316949/86.txt	316949	86	13292	3. 
352	../data/ddrs/316949/90.txt	316949	90	13292	3.4 
353	../data/ddrs/316949/93.txt	316949	93	13292	34 
354	../data/ddrs/316949/94.txt	316949	94	13292	3.4 
355	../data/ddrs/316949/96.txt	316949	96	13292	3.4 
356	../data/ddrs/316949/10.txt	316949	10	13292	3.4 
357	../data/ddrs/316949/105.txt	316949	105	13292	3.4 
358	../data/ddrs/316949/106.txt	316949	106	13292	, 3.4 
359	../data/ddrs/316949/107.txt	316949	107	13292	3.4 
360	../data/ddrs/316949/109.txt	316949	109	13292	3.4 
361	../data/ddrs/316949/113.txt	316949	113	13292	3.4 
362	../data/ddrs/316949/114.txt	316949	114	13292	3.4 
363	../data/ddrs/316949/115.txt	316949	115	13292	3.4 
364	../data/ddrs/316949/118.txt	316949	118	13292	3.4 
365	../data/ddrs/316949/119.txt	316949	119	13292	3.4 
366	../data/ddrs/316949/12.txt	316949	12	13292	3.4 
367	../data/ddrs/316949/121.txt	316949	121	13292	
368	../data/ddrs/316949/122.txt	316949	122	13292	3.4 
369	../data/ddrs/316949/125.txt	316949	125	13292	3.4 
370	../data/ddrs/316949/126.txt	316949	126	13292	3.4 
371	../data/ddrs/316949/13.txt	316949	13	13292	3.4 
372	../data/ddrs/316949/130.txt	316949	130	13292	3A 
373	../data/ddrs/316949/132.txt	316949	132	13292	3.4 
374	../data/ddrs/316949/138.txt	316949	138	13292	3.4 
375	../data/ddrs/316949/139.txt	316949	139	13292	3.4 
376	../data/ddrs/316949/14.txt	316949	14	13292	3.4 
377	../data/ddrs/316949/143.txt	316949	143	13292	3.4 
378	../data/ddrs/316949/15.txt	316949	15	13292	3.4 
379	../data/ddrs/316949/16.txt	316949	16	1	3. 
380	../data/ddrs/316949/17.txt	316949	17	13292	3.4 
381	../data/ddrs/316949/18.txt	316949	18	13292	3.4 
382	../data/ddrs/316949/19.txt	316949	19	13292	3 A 
383	../data/ddrs/316949/20.txt	316949	20	13292	3.4 
384	../data/ddrs/316949/21.txt	316949	21	13292	3.4 
385	../data/ddrs/316949/24.txt	316949	24	13292	3.4 
386	../data/ddrs/316949/27.txt	316949	27	13292	3A 
387	../data/ddrs/316949/28.txt	316949	28	13292	3.4 
388	../data/ddrs/316949/29.txt	316949	29	13292	3.4 
389	../data/ddrs/316949/30.txt	316949	30	13292	34 
390	../data/ddrs/316949/35.txt	316949	35	13292	3.4 
391	../data/ddrs/316949/37.txt	316949	37	13292	34 
392	../data/ddrs/316949/38.txt	316949	38	13292	L3.4 
393	../data/ddrs/316949/39.txt	316949	39	13292	3.4 
394	../data/ddrs/316949/40.txt	316949	40	13292	3.4 , 
395	../data/ddrs/316949/41.txt	316949	41	13292	3.4 
396	../data/ddrs/316949/42.txt	316949	42	13292	3.4 
397	../data/ddrs/316949/44.txt	316949	44	13292	3.4 
398	../data/ddrs/316949/45.txt	316949	45	13292	3.4 
399	../data/ddrs/316949/46.txt	316949	46	13292	3A 
400	../data/ddrs/316949/48.txt	316949	48	13292	3.4 
401	../data/ddrs/316949/49.txt	316949	49	13292	3.4 
402	../data/ddrs/316949/53.txt	316949	53	13292	3.4 
403	../data/ddrs/316949/55.txt	316949	55	13292	3.4 
404	../data/ddrs/316949/56.txt	316949	56	13292	3.4 
405	../data/ddrs/316949/57.txt	316949	57	13292	3.4 
406	../data/ddrs/316949/59.txt	316949	59	13292	3,4 
407	../data/ddrs/316949/60.txt	316949	60	13292	3.4 
408	../data/ddrs/316949/62.txt	316949	62	13292	3. 
409	../data/ddrs/316949/63.txt	316949	63	13292	3.4 
410	../data/ddrs/316949/66.txt	316949	66	13292	3.4 
411	../data/ddrs/316949/68.txt	316949	68	13292	3.4 
412	../data/ddrs/316949/72.txt	316949	72	13292	3.4 
413	../data/ddrs/316949/75.txt	316949	75	13292	3.4 
414	../data/ddrs/316949/77.txt	316949	77	13292	3.4 
415	../data/ddrs/316949/78.txt	316949	78	13292	
416	../data/ddrs/316960/11.txt	316960	11	2	
417	../data/ddrs/316960/3.txt	316960	3		
418	../data/ddrs/316725/2.txt	316725	2	13292	3.5 
419	../data/ddrs/316732/2.txt	316732	2	12958	
420	../data/ddrs/316737/2.txt	316737	2	12958	3.6 
421	../data/ddrs/316776/2.txt	316776	2	12958	
422	../data/ddrs/316786/2.txt	316786	2	13526	3.5 
423	../data/ddrs/316799/2.txt	316799	2	12958	
424	../data/ddrs/316830/2.txt	316830	2	12958	
425	../data/ddrs/316607/2.txt	316607	2	13292	3.6 
426	../data/ddrs/316607/4.txt	316607	4	13292	3.5 
427	../data/ddrs/316616/2.txt	316616	2	11652	
428	../data/ddrs/316618/2.txt	316618	2	13526	3.5 
429	../data/ddrs/316622/2.txt	316622	2	13526	3.3 
430	../data/ddrs/316623/2.txt	316623	2	12958	
431	../data/ddrs/316624/2.txt	316624	2	13526	3.5 
432	../data/ddrs/316638/2.txt	316638	2	13292	3.5 
433	../data/ddrs/316646/2.txt	316646	2	12958	3.6 
434	../data/ddrs/316654/2.txt	316654	2	12958	3.3 
435	../data/ddrs/316656/2.txt	316656	2	13526	3.5 
436	../data/ddrs/316675/2.txt	316675	2	13526	3.5 
437	../data/ddrs/316676/2.txt	316676	2	13526	3.5 , 
438	../data/ddrs/316677/2.txt	316677	2	13526	3.5  - 
439	../data/ddrs/316712/2.txt	316712	2	13292	3.4 
440	../data/ddrs/316714/2.txt	316714	2	12958	3.5- 
441	../data/ddrs/316720/2.txt	316720	2	13292	3.5 
442	../data/ddrs/316721/2.txt	316721	2	13292	3.5 
443	../data/ddrs/316722/2.txt	316722	2	13292	3.5 
444	../data/ddrs/316724/2.txt	316724	2	13292	3.5 
445	../data/ddrs/316490/2.txt	316490	2	123	
446	../data/ddrs/316490/2.txt	316490	2	12958	
447	../data/ddrs/316494/2.txt	316494	2	12958	, 3.6 
448	../data/ddrs/316495/2.txt	316495	2	13526	3.5 
449	../data/ddrs/316502/2.txt	316502	2	13526	3.5 
450	../data/ddrs/316503/2.txt	316503	2	12356	
451	../data/ddrs/316503/2.txt	316503	2	12958	
